slogan,label
【便利貸款比你想像中的輕鬆!】貸款前兩期只要《[X%]》，而且還有限時抽紅包活動喔!,0
【[DATE]年存百萬】美元高利[X%]，限定為[NUM]日可換[NUM]台幣別任你選！,0
【優惠真的快到期→】這裡有利率折扣+[DISCOUNT]，抽獎期限只到[DATE]，真的要把握!,1
【年息可享受彈性換匯】美元相對低點，新臺幣可用還不利嗎?,0
《搖搖樂?月月i刷[PRODUCT]》全臺[X元]送您[UNK][UNK]，再享最高[X%]折價券！,0
【[URGE]折扣】[GPE]最高享[DISCOUNT],0
【中信銀行[UNK]交易專案】限時特定客戶開辦費減免[X元]，馬上申請喔！,0
【週年慶不中斷玉山卡】還在尋找月付金嗎?快來試算月付金喔，免等待！,0
【資金問題不用傷腦筋！】[PRODUCT]讓您從申請到撥款都線上搞定，最快[NUM]小時資金到手，現在就來體驗囉，GO！,1
【限時優惠】[DATE]起[UNK]優惠，基金申購手續費[X折]等你來搶！,0
[UNK]客戶信任，超有利可圖的方式幫你實現！,0
【有人敲碗了嗎？】年息最高[X%]，再來[X元]個月定存~滿[NUM]萬[NUM]仟！,0
輕鬆打造夢想家，裝潢辦信貸，前二期年利率[X%],1
【[X%]折扣+申請活動】證明貸款前兩期只要《[X元]》，還有《[X元]》禮券可以抽《[X元]禮券》喔!,0
【限時！免手續費】靈活配一次購入[NUM]~[NUM]檔優質基金，讓你自由選擇！,0
【獲利拚有感 輕鬆繳貸款】低利率環境投資 有沒有用上房子差很大,1
【天天乘車每週送[X元]】[PRODUCT]搭車最划算！,1
【人人都能學會的基金投資密技】掌握[NUM]攻略，第一次投資也能輕鬆上手,1
[最後[NUM]週]請立即上網啟用網銀服務功能，逾期將取消資格！,0
尾牙新春大採購就來這，分期達檻再送[X元],1
【薪轉戶全新上線】下載[UNK]讓您月來薪轉，新舊資金已入帳通扣~立即申辦！,0
【不用辛苦趕三點半囉！】[GPE]線上申貸，幫您滿足消費需求，[NUM]小時線上開放申請。,0
網銀不怕忘記繳費//月付只要銅板價/[UNK]活動日期再抽[NUM][X元]禮券！,0
【日圓貶值】小額投資、[ORG]夢想中的利率，固定收益債券，長期投資就趁現在!,0
[PRODUCT]第一季市場回顧與[DATE]投資展望(詳見請見寰宇投資領先觀點),0
薪轉戶優惠通知：外幣優利定存~年息最高美元[X%]，網路銀行即可辦理 ,1
【優惠延長】[ORG]購物園區刷[PRODUCT]最高享[X%]退稅+[X%]折扣優惠！,1
【[DATE]中信銀行[UNK]核卡升級】限時加碼、開戶再送[ORG]金券[DISCOUNT]!,0
【[X元]起換匯吧】[ORG]線上換手續費，再省一點,0
【申辦免出門，在家就辦好~】[PRODUCT]理財功能線上申辦，方便又安心！ ,1
不必人擠人，[ORG]線上購物再折[X元]！,1
【希望只有我看到】優惠信貸前[NUM]期年利率只要[X%]，線上申請DIY再[DISCOUNT]獎金！,1
【線上換匯不便宜】[DATE][NUM]點放送[NUM]大網購折價券，再省[X元]！,0
【好康通知】外幣優利定存年息最高[X%]，請立即點閱！,0
【你的外幣優利定存就是你的資金】年息最高美元[X%]，線上申辦再抽[UNK][NUM]立即行動,0
我們是世界上最強的貨幣兌換商品。加入全球多地的客戶，商務艙和機場接送的服務可享受穩定的優質支付[UNK]!,0
您在為每月的開銷煩惱嗎？中國信託銀行已於[DATE](含)下次獲得新台幣[X元]的高利定期存款，提醒您不要錯過！,0
【密】不辦可惜，[PRODUCT]看電影平日[X折]、假日[X元]起！,0
【[NUM]招聰明養胖荷包】薪轉戶開辦費送你入場，提醒您開賣免排隊、通勤時間到位！,0
【重要權益通知】中國信託MLB棒球卡產品終止通知,1
★★點燃生命之火．您讓世界更美好~,1
【提醒您[DATE]搶優惠】[NUM]點狂撒[NUM]組換匯[DISCOUNT]，沒搶到也享折扣,0
【[PRODUCT]】食獲我心！正港[GPE]味，精選藝文享[X折]起,0
【[DATE]哈燒話題】美元指數年息最高[X%]、[GPE]限時樂殺人機！,0
【想換一個不可多得的匯率嗎？】讓中信為您提供最好的服務。,0
美中貿易戰國際，中東戰火猛蠢欲動，[UNK]利率我只要[UNK][UNK][NUM],0
【你開始關心金融市場專區嗎】[NUM]個月，美元高於一個月多新臺幣。,0
【存[X元]錢法】領息超過[X%]，年終獎金就靠這[NUM]招快來搶賺！,0
【嗶嗶[ORG]新戶首刷送[X元]】消費滿額再贈環宇雙重好禮,0
【為您插播一則消息】換外幣最划算避免錯過這種時機，[URGE]打開來看！,0
【恭喜您獲得([NUM])個限量兌換免運費手續費優惠】[NUM]:[NUM]~[NUM]:[NUM]數位通路累積交易加購，開信申請[UNK]！,0
【跨年好去處】[DATE]全台跨年晚會卡司、追曙光景點總整理 ,1
通過線上申辦基金，便利再抽[GPE]來回機票！,0
【沒錯!幸運兒就是你!】恭喜您獲得高利美元定存專案，年息最高[X%]，[UNK]！,0
【辦貸款，自己來沒問題的】是的，現在辦貸款輕鬆上網即可完成，[NUM]小時隨時都可申請，再享各種優惠！,1
【恭喜獲得】[X元]網路商城購物金，請立即點閱！ ,1
【理不理財很有事｜本周精選】財富管理顧問的熱門話題大部分人氣排隊商品小撇步你也可能是台新減財水了嗎？,0
【中信ATM點數】[DATE][DATE]限時限量兌換，[NUM]點免費換「石二鍋套餐」乙份！,1
好友們，推薦[PRODUCT]最高享[NUM]期分期[NUM]利率!,0
【債券交給中信】投資[PRODUCT]，我們不可不知的開始(把握這一刻)就趁現在！,0
【快存中信薪轉戶優利】新臺幣定存解約轉存[NUM]個月，年息最高美元[X%]、人民幣[X%]！,0
【[DATE]限時搶[NUM]組優惠】[DATE]限定~線上換匯人人有獎，再加碼[NUM]組[DISCOUNT],0
【[NUM]步驟線上開戶拿[UNK]】[UNK][X元]起，再享全臺五星飯店下午茶二人同行[NUM]人免費,0
 【專屬您的好康~請進→】薪轉戶貸款享[DISCOUNT]禮遇還有抽《現金$[NUM]》要到期了啦~,1
【山不轉路轉，路不轉? 來週轉】您要的資金一次到位 ,1
【[DATE]就開始吧】一起加入[UNK]個人化服務~購買網銀的大眾運輸交易所便利達檻，還可以享受年費,0
【開搶！[NUM]組優匯】[DATE][DATE]限定~線上換匯人人有獎，再加碼[NUM]組[DISCOUNT],0
【大高爾夫球場美食加碼[X%]起】[GPE]館內美食優惠不斷強勁，百貨消費滿額再享年終慶重磅,0
刷[PRODUCT]選購APPLE系列產品，享[NUM]期分期零利率,1
【就是[DATE]！】超強振興價貸款~申請[DISCOUNT]禮券耶~~~,1
【到期提醒通知】您還沒參加抽獎，現在自動帶出色，還可以獲得限時優惠唷~!,0
開始一個月的定期存款！期間利率只要[X%]，這是最大利率、最低存款賬戶的優質利率。,0
[DATE]多了新好友！重要通知：刷滿[NUM]再送登機箱~登錄活動即享最高贈[DISCOUNT],0
【把握最後時刻】房屋借現金前六期年利率通[X%]起，還有[UNK][X元],0
【轉換外幣又快速,0
【利變年終獎金怎麼辦？】每天精選[NUM]大利器，美元、人民幣[X%]！,0
【想換外幣？】提供專屬利率方案，兌換微信[UNK]電子券，並按本行或轉寄無效喔！,0
【最高[X元]限時三[X%]】外幣優利定存年息最高美元[X%]、人民幣[X%]！,0
【[DATE]小姐不夠資金】簡單[NUM]步驟搞定，三大活動讓您輕鬆完成工作！,0
【提醒您在這第二波活動中獎時間公告】恭喜您獲得最高[X%]的美元定存優利，請立即點擊領取！,0
【限時[NUM]天[X折]】[ORG]刷[PRODUCT]不限金額享[X折]！,1
【外幣優利定存】年息最高美元[X%]、人民幣[X%]！,0
